ID Topik,Nama Topik,Jumlah Dokumen,Kata Kunci Utama,Skor c-TF-IDF,Contoh Advisory
36,36_cisa_honeywell_avoiding_social engineering,12,"cisa, honeywell, avoiding, social engineering, social, engineering, attacks, email","0.020, 0.017, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015",ICSA-10-322-02A; ICSA-10-337-01; ICSA-10-348-01A
37,37_cisa_devices_defense_control,12,"cisa, devices, defense, control, ics, recommended, networks, practices","0.021, 0.020, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014",ICSA-19-099-01; ICSA-20-042-08; ICSA-20-196-04
38,38_carefusion_password_cisa_hard coded,12,"carefusion, password, cisa, hard coded, coded, hard, bridge, email","0.025, 0.016, 0.016, 0.014, 0.014, 0.014, 0.014, 0.013",ICSA-11-356-01; ICSA-12-032-01; ICSA-13-077-01B
39,39_cisa_ics_avoiding_social,11,"cisa, ics, avoiding, social, social engineering, email, engineering, attacks","0.024, 0.020, 0.020, 0.019, 0.019, 0.019, 0.019, 0.018",ICSA-23-299-01; ICSA-24-128-01; ICSA-24-291-02
40,40_cisa_sage_email_avoiding,11,"cisa, sage, email, avoiding, social engineering, social, engineering, attacks","0.023, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016",ICSA-11-094-02B; ICSA-11-175-01; ICSA-11-273-03A
41,41_delta_vulnerabilities_refer cisco_additional workarounds,11,"delta, vulnerabilities, refer cisco, additional workarounds, advisories additional, cisco security, keysight, rockwell automation","0.035, 0.018, 0.016, 0.016, 0.016, 0.016, 0.015, 0.014",ICSA-16-287-04; ICSMA-17-292-01; ICSA-23-299-04
42,42_magelis_control_update version_version latest,11,"magelis, control, update version, version latest, hitachi energy, cisa, safety software, process control","0.019, 0.017, 0.017, 0.015, 0.015, 0.015, 0.015, 0.014",ICSA-15-036-01A; ICSA-16-308-02B; ICSMA-16-306-01
43,43_control_networks_access_systems,11,"control, networks, access, systems, plus, cisa, control systems, click","0.021, 0.015, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013",ICSA-15-041-02; ICSA-15-069-02; ICSA-15-181-01
44,44_workarounds mitigations_workarounds_mitigations thatcustomers_thatcustomers apply,10,"workarounds mitigations, workarounds, mitigations thatcustomers, thatcustomers apply, thatcustomers, mitigations, siemens identified, specific workarounds","0.055, 0.050, 0.040, 0.040, 0.040, 0.039, 0.039, 0.037",ICSA-18-317-08; ICSA-18-345-02; ICSA-19-036-04
45,45_devices_cisa_network access_security,10,"devices, cisa, network access, security, siemens, network, vulnerability, defense","0.020, 0.018, 0.017, 0.016, 0.015, 0.015, 0.014, 0.014",ICSA-18-282-04; ICSA-18-282-05; ICSA-18-317-03
