ID Topik,Nama Topik,Jumlah Dokumen,Kata Kunci Utama,Skor c-TF-IDF,Contoh Advisory
53,53_dtm_hart_cisa_avoiding,13,"dtm, hart, cisa, avoiding, device type, social, social engineering, email","0.057, 0.037, 0.020, 0.017, 0.016, 0.016, 0.016, 0.016",ICSA-15-008-01A; ICSA-15-012-01; ICSA-15-012-01A
50,50_edr_edr 810_810_moxa,13,"edr, edr 810, 810, moxa, emerson, loytec, firmware, secure router","0.046, 0.043, 0.043, 0.039, 0.028, 0.026, 0.025, 0.024",ICSA-13-042-01; ICSA-13-259-01A; ICSA-13-259-01B
49,49_bd_alaris_bd alaris_bd recommends,13,"bd, alaris, bd alaris, bd recommends, pcu, cve 2023, credentials, 2023","0.138, 0.078, 0.060, 0.028, 0.026, 0.022, 0.021, 0.020",ICSMA-17-017-01; ICSMA-17-017-02; ICSMA-17-082-01
48,48_philips_windows_service support_philips contact,13,"philips, windows, service support, philips contact, incenter, isp, mitigating controls, mitigating","0.113, 0.052, 0.042, 0.038, 0.035, 0.035, 0.032, 0.029",ICSMA-18-058-02; ICSMA-18-086-01; ICSMA-18-123-01
54,54_project files_project_cvss_files,12,"project files, project, cvss, files, worx, assigned, cisa, dopsoft","0.019, 0.019, 0.019, 0.016, 0.015, 0.014, 0.014, 0.014",ICSA-19-171-01; ICSA-19-225-01; ICSA-19-302-01
55,55_climatix_siemens_web_site scripting,12,"climatix, siemens, web, site scripting, scripting, javascript, cross site, cross","0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014",ICSA-18-163-02; ICSA-18-317-04; ICSA-20-105-04
56,56_plc_cve 2022_2022_cve,12,"plc, cve 2022, 2022, cve, password, assigned, cvss, users","0.046, 0.026, 0.025, 0.019, 0.018, 0.017, 0.017, 0.012",ICSA-17-101-01; ICSA-18-240-01; ICSA-20-315-03
57,57_ics cert_cert_dll_ics,11,"ics cert, cert, dll, ics, search path, cert web, nccic, search","0.051, 0.044, 0.030, 0.025, 0.023, 0.021, 0.020, 0.020",ICSA-17-038-01; ICSA-17-045-01; ICSA-17-094-01
58,58_rslogix_cisa_avoiding_social,11,"rslogix, cisa, avoiding, social, social engineering, engineering, attacks, email","0.018, 0.018, 0.014, 0.014, 0.014, 0.014, 0.014, 0.014",ICSA-11-122-01; ICSA-11-264-01; ICSA-12-088-01A
59,59_tracer_microsmart_40 later_tracer sc,10,"tracer, microsmart, 40 later, tracer sc, cpu module, sc, cvss, 40","0.021, 0.019, 0.017, 0.017, 0.016, 0.015, 0.015, 0.014",ICSA-20-084-02; ICSA-20-133-01; ICSA-20-184-02
60,60_nport_moxa_series_versions prior,10,"nport, moxa, series, versions prior, series version, series versions, 5600, m12","0.121, 0.076, 0.065, 0.046, 0.045, 0.044, 0.029, 0.027",ICSA-16-336-02A; ICSA-17-143-01; ICSA-19-024-02
61,61_wi fi_wi_fi_fi access,10,"wi fi, wi, fi, fi access, frames, wpa, wpa2, wpa wpa2","0.072, 0.072, 0.072, 0.043, 0.032, 0.031, 0.031, 0.030",ICSA-17-299-02; ICSA-17-318-01; ICSA-17-318-02A
